"","ticknumb","gender","day1","day2","day3"
"157",2979,"Male",1.34,NA,NA
"158",2982,"Male",1.85,NA,NA
"159",2983,"Male",2.08,NA,NA
"160",2984,"Male",1.02,NA,NA
"161",2985,"Female",1.79,NA,NA
"162",2988,"Female",1.94,NA,NA
"163",2989,"Female",3.26,1.97,1.67
"164",2990,"Male",1.14,0.58,0.11
"165",3008,"Female",1.5,0.7,0.38
"166",3009,"Female",2.03,NA,NA
"167",3010,"Female",2.24,NA,NA
"168",3013,"Female",1.11,NA,NA
"169",3014,"Female",2.21,NA,NA
"170",3016,"Male",1.94,NA,NA
"171",3017,"Male",2.41,NA,NA
"172",3018,"Male",0.88,NA,NA
"173",3019,"Female",1.17,1.35,NA
"174",3027,"Male",2.23,NA,NA
"175",3028,"Female",1.64,NA,NA
"176",3029,"Female",2.14,NA,NA
"177",3030,"Male",0.11,0.29,NA
"178",3031,"Male",2.17,NA,NA
"179",3032,"Female",1.67,NA,NA
"180",3033,"Female",1,NA,NA
"181",3034,"Female",0.88,NA,NA
"182",3035,"Male",2.2,NA,NA
"183",3048,"Male",2.17,NA,NA
"184",3049,"Female",2.32,NA,NA
"185",3051,"Male",1.64,NA,NA
"186",3052,"Female",3,NA,NA
"187",3053,"Female",2.38,0.85,NA
"188",3054,"Female",1.6,1.02,NA
"189",3055,"Female",1.58,NA,NA
"190",3056,"Female",2.61,NA,NA
"191",3057,"Male",1.44,0.05,0.2
"192",3064,"Male",1.57,NA,NA
"193",3065,"Female",2.32,NA,NA
"194",3068,"Female",1.14,NA,NA
"195",3069,"Male",1.93,NA,NA
"196",3070,"Male",2.47,NA,NA
"197",3072,"Female",2.29,NA,NA
"198",3073,"Female",1,NA,NA
"199",3092,"Female",1.58,NA,NA
"200",3093,"Male",2.44,NA,NA
"201",3094,"Female",0.83,NA,NA
"202",3095,"Male",2.71,0.78,0.33
"203",3096,"Female",1.73,NA,NA
"204",3097,"Male",1.58,NA,NA
"205",3098,"Male",1.5,NA,NA
"206",3100,"Female",1.05,NA,NA
"207",3106,"Male",2.05,NA,NA
"208",3107,"Female",2.63,NA,NA
"209",3109,"Male",2.55,2.29,NA
"210",3111,"Female",2,NA,NA
"211",3112,"Male",2,NA,NA
"212",3114,"Female",1.32,NA,NA
"213",3116,"Female",3.14,NA,NA
"214",3118,"Male",1.44,NA,NA
"215",3129,"Male",1.85,0.23,NA
"216",3131,"Female",1.41,0.44,NA
"217",3132,"Female",1.94,NA,NA
"218",3133,"Male",2.91,NA,NA
"219",3135,"Female",1.85,NA,NA
"220",3136,"Male",1.7,NA,NA
"221",3137,"Female",2.23,NA,NA
"222",3138,"Male",1.11,NA,NA
"223",3139,"Female",1.47,NA,NA
"224",3146,"Female",2.2,NA,NA
"225",3147,"Male",1.82,NA,NA
"226",3148,"Female",1.42,NA,NA
"227",3168,"Female",2.44,NA,NA
"228",3171,"Female",2.66,NA,NA
"229",3172,"Male",1.52,NA,NA
"230",3173,"Female",1.35,0.47,0.73
"231",3180,"Female",1.29,NA,NA
"232",3182,"Female",2.32,NA,NA
"233",3190,"Male",0.78,NA,NA
"234",3192,"Female",2.84,NA,NA
"235",3202,"Male",0.97,NA,NA
"236",3236,"Female",1.52,NA,NA
"237",3245,"Female",1.7,NA,NA
"238",3246,"Female",0.94,1.17,1.29
"239",3247,"Male",1.41,NA,NA
"240",3248,"Male",1.79,NA,NA
"241",3249,"Male",1.08,0.44,0.44
"242",3250,"Male",1.47,NA,NA
"243",3251,"Female",1.79,0.47,NA
"244",3253,"Male",2,NA,NA
"245",3254,"Female",0.76,NA,NA
"246",3255,"Male",2.2,NA,NA
"247",3256,"Female",0.94,0.17,NA
"248",3257,"Female",1.38,NA,NA
"249",3258,"Female",1.38,0.85,NA
"250",3260,"Male",0.32,NA,NA
"251",3261,"Male",2.58,NA,NA
"252",3262,"Male",0.51,NA,NA
"253",3264,"Female",0.32,NA,NA
"254",3267,"Female",0.91,1.11,1.7
"255",3273,"Male",1.51,NA,NA
"256",3275,"Female",1.47,NA,NA
"257",3276,"Female",2.5,NA,NA
"258",3277,"Female",2.26,NA,NA
"259",3278,"Female",2.81,NA,NA
"260",3279,"Female",1.87,NA,NA
"261",3281,"Female",2,NA,NA
"262",3282,"Female",2.23,0.41,1.02
"263",3284,"Male",2,0.76,NA
"264",3290,"Female",1.41,NA,NA
"265",3291,"Male",1.64,NA,NA
"266",3292,"Male",1.64,NA,NA
"267",3296,"Male",1.26,NA,NA
"268",3306,"Female",1.52,0.55,1.88
"269",3307,"Male",2.44,1.02,0.76
"270",3308,"Female",2.18,NA,NA
"271",3309,"Female",3.02,NA,NA
"272",3310,"Female",1.02,NA,NA
"273",3311,"Female",2.88,NA,NA
"274",3312,"Male",1.54,NA,NA
"275",3313,"Female",1.64,NA,NA
"276",3314,"Female",2.44,2.5,1.7
"277",3315,"Female",1.29,NA,NA
"278",3316,"Female",1.61,0.32,0.26
"279",3321,"Female",1.77,NA,NA
"280",3325,"Male",0.91,0.17,NA
"281",3326,"Female",0.85,0.2,0.38
"282",3327,"Male",0.85,0.52,0.44
"283",3328,"Female",1.5,NA,NA
"284",3329,"Male",1.05,0.23,NA
"285",3338,"Female",3.38,NA,NA
"286",3340,"Female",1.42,0.52,2
"287",3341,"Female",1.85,NA,NA
"288",3348,"Female",1.91,0.84,NA
"289",3349,"Male",0.82,0.26,NA
"290",3350,"Female",1.32,0.76,NA
"291",3351,"Female",2.23,0.85,0.39
"292",3352,"Female",1.47,1.52,0.17
"293",3363,"Female",2.7,NA,NA
"294",3365,"Male",1.58,NA,NA
"295",3366,"Male",1,NA,NA
"296",3367,"Female",1.44,NA,NA
"297",3368,"Female",2,NA,NA
"298",3369,"Male",1.6,NA,NA
"299",3370,"Female",2.32,2.53,1.67
"300",3371,"Female",3.41,NA,NA
"301",3372,"Female",2.02,NA,NA
"302",3373,"Male",0.64,0.52,NA
"303",3374,"Male",3.58,3.35,NA
"304",3375,"Male",1.5,NA,NA
"305",3376,"Male",1.08,NA,NA
"306",3377,"Female",1.52,NA,NA
"307",3378,"Male",1.26,NA,NA
"308",3379,"Female",1.68,NA,NA
"309",3380,"Male",1.47,1.08,0.58
"310",3390,"Female",1.47,NA,NA
"311",3391,"Female",1.67,1.55,NA
"312",3392,"Female",2.47,1.97,NA
"313",3393,"Male",1.82,NA,NA
"314",3394,"Female",2.17,NA,NA
"315",3395,"Female",3.21,NA,NA
"316",3397,"Female",1.6,1.38,1.02
"317",3398,"Female",0.32,NA,NA
"318",3407,"Female",0.55,NA,NA
"319",3411,"Female",1.42,NA,NA
"320",3412,"Male",1.14,NA,NA
"321",3413,"Female",2.64,NA,NA
"322",3416,"Female",2.58,NA,NA
"323",3418,"Female",2.02,NA,NA
"324",3419,"Male",2,NA,NA
"325",3420,"Female",2.9,NA,NA
"326",3423,"Male",1.82,NA,NA
"327",3429,"Female",0.5,NA,NA
"328",3431,"Male",1.53,NA,NA
"329",3449,"Female",2.48,NA,NA
"330",3450,"Female",2.05,NA,NA
"331",3453,"Male",2.52,NA,NA
"332",3454,"Female",1.88,NA,NA
"333",3455,"Male",2.73,NA,NA
"334",3456,"Female",2.88,NA,NA
"335",3457,"Female",1.67,NA,NA
"336",3458,"Female",1.93,NA,NA
"337",3460,"Female",1.67,NA,NA
"338",3461,"Male",1.2,NA,NA
"339",3464,"Female",2.75,NA,NA
"340",3467,"Female",1.94,0.97,NA
"341",3468,"Female",0.59,NA,NA
"342",3469,"Female",1.5,NA,NA
"343",3477,"Male",1.58,0.94,0.94
"344",3480,"Female",2.23,0.11,0.17
"345",3483,"Female",2.35,NA,NA
"346",3490,"Female",2.55,0.82,0.29
"347",3493,"Male",1.55,NA,NA
"348",3494,"Female",2.31,NA,NA
"349",3495,"Male",2.23,NA,NA
"350",3500,"Female",0.67,0.5,NA
"351",3501,"Male",2.51,NA,NA
"352",3503,"Male",1.08,0.58,0.61
"353",3510,"Female",2.44,NA,NA
"354",3511,"Female",0.23,0.14,NA
"355",3512,"Female",2.17,NA,NA
"356",3518,"Male",1.9,1.17,NA
"357",3519,"Female",1.67,0.44,NA
"358",3521,"Female",2,0.58,0.52
"359",3522,"Female",2.44,NA,NA
"360",3523,"Male",1.44,NA,NA
"361",3524,"Male",0.82,NA,NA
"362",3525,"Female",2.5,NA,NA
"363",3526,"Male",1.82,NA,NA
"364",3536,"Female",1.97,NA,NA
"365",3539,"Female",2.52,NA,NA
"366",3540,"Female",0.05,NA,NA
"367",3542,"Female",2.08,NA,NA
"368",3545,"Female",2.39,NA,NA
"369",3546,"Male",1.45,0.82,NA
"370",3551,"Male",2.58,NA,NA
"371",3557,"Female",2.12,NA,NA
"372",3565,"Female",2.02,0.76,0.55
"373",3567,"Male",1.78,1.14,0.44
"374",3568,"Male",0.73,0.17,0.76
"375",3569,"Female",2.26,0.9,1.85
"376",3570,"Female",2.79,NA,NA
"377",3571,"Male",0.43,0.67,0.14
"378",3572,"Male",0.52,0.38,0.7
"379",3573,"Female",2.32,NA,NA
"380",3574,"Male",2.22,NA,NA
"381",3575,"Male",0.58,NA,NA
"382",3576,"Male",2,NA,NA
"383",3577,"Female",0.7,NA,NA
"384",3586,"Male",1,NA,NA
"385",3587,"Male",0.3,NA,NA
"386",3588,"Male",1.52,NA,NA
"387",3593,"Female",1.58,0.35,NA
"388",3594,"Male",2.34,NA,NA
"389",3595,"Female",0.79,NA,NA
"390",3596,"Female",2.26,NA,NA
"391",3597,"Male",2.35,NA,NA
"392",3598,"Female",1.7,NA,NA
"393",3599,"Female",3.09,NA,NA
"394",3600,"Female",1.52,NA,NA
"395",3601,"Female",0.35,NA,NA
"396",3602,"Female",2.7,NA,NA
"397",3603,"Female",1.64,NA,NA
"398",3605,"Male",0.82,NA,NA
"399",3606,"Male",2.73,NA,NA
"400",3607,"Female",2.23,NA,NA
"401",3609,"Female",1.06,NA,NA
"402",3610,"Male",2.05,0.2,0.35
"403",3613,"Female",1.73,1.44,NA
"404",3614,"Female",0.93,0.91,NA
"405",3620,"Female",2.5,2.44,NA
"406",3621,"Male",1.44,NA,NA
"407",3622,"Female",2.88,NA,NA
"408",3625,"Female",0.67,0.23,0.44
"409",3626,"Male",1.85,0.35,NA
"410",3627,"Female",1.21,0.79,NA
"411",3628,"Male",1.06,0.76,0.7
"412",3629,"Male",0.61,0.26,0.33
"413",3631,"Female",2,NA,NA
"414",3634,"Female",1.17,0.73,1.17
"415",3635,"Female",1.48,0.79,1.55
"416",3645,"Female",1.55,NA,NA
"417",3646,"Female",3.29,NA,NA
"418",3647,"Male",1.47,NA,NA
"419",3648,"Male",0.96,NA,NA
"420",3649,"Male",1,1.11,1.2
"421",3652,"Male",1.47,NA,NA
"422",3653,"Female",2.55,2.38,NA
"423",3654,"Female",0.44,0.06,NA
"424",3655,"Female",2.35,2.41,NA
"425",3656,"Female",1.71,0.85,NA
"426",3659,"Male",1.84,0.58,0.7
"427",3660,"Female",1.11,0.23,0.55
"428",3667,"Female",1.38,NA,NA
"429",3669,"Male",0.88,NA,NA
"430",3670,"Female",0.94,NA,NA
"431",3672,"Female",1.91,NA,NA
"432",3676,"Male",2.76,NA,NA
"433",3677,"Male",1.55,0.32,0.47
"434",3678,"Male",2.67,NA,NA
"435",3680,"Female",1.03,0.29,0.72
"436",3696,"Female",2.5,NA,NA
"437",3697,"Male",1.64,NA,NA
"438",3698,"Female",2.26,NA,NA
"439",3709,"Female",2.14,NA,NA
"440",3710,"Male",0.52,NA,NA
"441",3711,"Male",1.08,NA,NA
"442",3712,"Male",1.69,NA,NA
"443",3713,"Male",2.73,NA,NA
"444",3714,"Male",1.91,NA,NA
"445",3715,"Male",1.73,NA,NA
"446",3716,"Female",3.21,NA,NA
"447",3717,"Female",2.11,NA,NA
"448",3718,"Female",2.05,NA,NA
"449",3719,"Male",2.17,NA,NA
"450",3720,"Female",2.17,NA,NA
"451",3721,"Female",2.3,NA,NA
"452",3722,"Female",2.56,NA,NA
"453",3723,"Female",2.11,0.41,0.47
"454",3724,"Male",1.7,NA,NA
"455",3725,"Female",1.23,NA,NA
"456",3726,"Female",3.2,NA,NA
"457",3727,"Female",2.02,NA,NA
"458",3728,"Female",2.64,NA,NA
"459",3729,"Male",2.52,0.14,NA
"460",3730,"Male",1.61,NA,NA
"461",3731,"Male",1.5,1.2,0.91
"462",3734,"Male",1.15,0.45,0.44
"463",3736,"Male",1.82,NA,NA
"464",3753,"Female",1.5,NA,NA
"465",3754,"Female",2.32,NA,NA
"466",3759,"Female",2.92,NA,NA
"467",3764,"Male",1.41,NA,NA
"468",3769,"Male",1.35,NA,NA
"469",3778,"Male",0.61,0.14,NA
"470",3779,"Female",0.73,NA,NA
"471",3782,"Female",2.23,1.88,NA
"472",3783,"Female",1.32,0.91,NA
"473",3784,"Female",2.94,1.79,NA
"474",3785,"Male",1.61,NA,NA
"475",3786,"Female",1,NA,NA
"476",3787,"Female",3.15,3,NA
"477",3788,"Female",2.88,NA,NA
"478",3791,"Female",2.09,1.21,NA
"479",3792,"Female",1.32,1.7,2.29
"480",3793,"Male",1.47,0.35,NA
"481",3794,"Male",1.61,NA,NA
"482",3796,"Male",2.2,1.5,1.88
"483",3797,"Female",2.78,NA,NA
"484",3798,"Female",2.06,NA,NA
"485",3799,"Female",0.47,NA,NA
"486",3804,"Female",2.87,NA,NA
"487",3826,"Male",1.14,NA,NA
"488",3828,"Female",3.32,3.21,NA
"489",3831,"Female",2.08,1.38,NA
"490",3836,"Female",2.38,2.5,NA
"491",3837,"Female",2.08,NA,NA
"492",3838,"Male",1.85,NA,NA
"493",3840,"Male",1.38,NA,NA
"494",3844,"Male",1.14,NA,NA
"495",3846,"Male",1.58,NA,NA
"496",3849,"Male",1.23,0.7,1.02
"497",3850,"Female",2.53,NA,NA
"498",3851,"Male",0.67,NA,NA
"499",3854,"Female",0.73,NA,NA
"500",3855,"Female",1.34,NA,NA
"501",3856,"Female",2.14,0.7,NA
"502",3857,"Female",1,NA,NA
"503",3858,"Male",1.35,NA,NA
"504",3859,"Male",1.94,0.79,NA
"505",3860,"Male",0.5,NA,NA
"506",3869,"Female",3.08,NA,NA
"507",3870,"Female",2.88,NA,NA
"508",3871,"Female",1.91,NA,NA
"509",3872,"Male",1.41,NA,NA
"510",3873,"Male",2.02,NA,NA
"511",3874,"Female",0.76,NA,NA
"512",3875,"Male",1.94,NA,NA
"513",3876,"Male",0.67,0.28,NA
"514",3879,"Female",2.41,NA,NA
"515",3880,"Female",2.17,NA,NA
"516",3882,"Female",2.67,0.41,NA
"517",3883,"Male",1.94,0.64,NA
"518",3888,"Female",2.05,0.85,1.7
"519",3890,"Male",2.17,NA,NA
"520",3909,"Male",0.47,NA,NA
"521",3912,"Male",0.62,0.76,NA
"522",3913,"Female",2,NA,NA
"523",3914,"Male",0.45,NA,NA
"524",3916,"Female",2.29,0.91,1.38
"525",3917,"Female",2.55,NA,NA
"526",3918,"Female",0.82,NA,NA
"527",3919,"Female",3.12,2.2,NA
"528",3920,"Male",2.5,2.23,0.41
"529",3921,"Male",1.79,NA,NA
"530",3922,"Female",2.28,NA,NA
"531",3923,"Male",0.58,1.05,0.58
"532",3924,"Female",2.5,1.29,NA
"533",3925,"Female",1.41,NA,NA
"534",3926,"Female",2.14,NA,NA
"535",3927,"Male",0.76,0.26,NA
"536",3929,"Male",1.79,1.11,NA
"537",3930,"Male",1.02,0.35,NA
"538",3932,"Female",2.62,NA,NA
"539",3942,"Male",0.88,NA,NA
"540",3944,"Male",1.58,0.2,0.2
"541",3945,"Female",2.2,NA,NA
"542",3946,"Female",1.14,NA,NA
"543",3947,"Male",1.47,0.52,0.35
"544",3948,"Female",1.41,0.23,0.38
"545",3949,"Male",1.44,1.76,1.18
"546",3950,"Female",1.23,1.17,NA
"547",3951,"Female",1.82,NA,NA
"548",3952,"Female",2.44,NA,NA
"549",3954,"Female",1.94,1.2,NA
"550",3955,"Male",2.41,NA,NA
"551",3964,"Female",2.27,NA,NA
"552",3965,"Male",1.79,0.23,NA
"553",3966,"Male",1.88,NA,NA
"554",3972,"Male",1.85,0.64,1.32
"555",3973,"Female",2.21,NA,NA
"556",3986,"Male",1.97,1.94,NA
"557",3987,"Female",2.51,NA,NA
"558",3988,"Female",2.05,NA,NA
"559",3989,"Female",1.29,1,0.82
"560",3990,"Female",2.05,NA,NA
"561",3991,"Female",2.23,NA,NA
"562",3992,"Female",1.76,NA,NA
"563",3993,"Male",1.05,NA,NA
"564",3994,"Male",1.79,NA,NA
"565",3995,"Female",1.02,0.73,0.47
"566",3996,"Female",2.76,1.58,NA
"567",3997,"Female",1.67,0.55,NA
"568",4010,"Male",2.85,NA,NA
"569",4011,"Female",0.23,0.84,NA
"570",4012,"Female",1.9,NA,NA
"571",4013,"Male",1.23,0.52,NA
"572",4014,"Male",1.97,NA,NA
"573",4015,"Female",1.5,NA,NA
"574",4016,"Female",3.69,NA,NA
"575",4017,"Female",0.5,NA,NA
"576",4022,"Female",2.18,NA,NA
"577",4023,"Female",2.17,NA,NA
"578",4024,"Female",1.58,NA,NA
"579",4025,"Male",2.88,NA,NA
"580",4030,"Male",2.52,NA,NA
"581",4032,"Female",2.2,NA,NA
"582",4033,"Male",1.73,NA,NA
"583",4034,"Female",2.23,NA,NA
"584",4079,"Male",1.97,NA,NA
"585",4089,"Male",1.2,0.67,0.91
"586",4090,"Male",2,NA,NA
"587",4092,"Female",1.91,NA,NA
"588",4093,"Male",0.81,NA,NA
"589",4095,"Female",1.31,NA,NA
"590",4096,"Female",0.38,NA,NA
"591",4101,"Female",1.97,NA,NA
"592",4104,"Female",0.38,NA,NA
"593",4105,"Female",2.11,0.76,0.85
"594",4106,"Female",3.2,NA,NA
"595",4107,"Female",0.02,NA,NA
"596",4109,"Female",2.56,NA,NA
"597",4110,"Female",2.02,NA,NA
"598",4111,"Female",2.3,NA,NA
"599",4114,"Male",2.02,NA,NA
"600",4147,"Female",2.05,NA,NA
"601",4148,"Female",1.7,NA,NA
"602",4149,"Male",1.61,NA,NA
"603",4150,"Male",0.73,NA,NA
"604",4151,"Male",2.5,1.64,NA
"605",4152,"Female",2.18,1.75,1.91
"606",4153,"Female",2.46,1.08,1.91
"607",4154,"Female",1.5,0.91,NA
"608",4155,"Female",1.73,0.94,NA
"609",4156,"Male",1.44,NA,NA
"610",4157,"Male",1.64,0.32,0.52
"611",4158,"Female",2.02,2.44,NA
"612",4159,"Female",1.2,0.17,0.2
"613",4160,"Male",0.38,0.02,NA
"614",4161,"Female",1.58,1.54,1.76
"615",4162,"Female",1.67,0.5,NA
"616",4163,"Female",1,0.48,NA
"617",4164,"Female",2.58,1.35,NA
"618",4165,"Female",2.82,2.61,3.02
"619",4166,"Female",2.29,2.05,NA
"620",4167,"Female",1.14,NA,NA
"621",4168,"Female",1.64,0.76,NA
"622",4171,"Female",1.82,0.08,NA
"623",4172,"Female",3.32,2.91,3.02
"624",4193,"Male",3.32,NA,NA
"625",4194,"Male",1.85,1,1.5
"626",4195,"Male",2.29,NA,NA
"627",4196,"Female",1.47,0.47,1.58
"628",4197,"Male",2.08,0.7,0.67
"629",4198,"Male",2.2,NA,NA
"630",4199,"Female",1.06,1.45,NA
"631",4216,"Female",0.97,0.14,0.02
"632",4218,"Male",2,NA,NA
"633",4219,"Female",1.67,0.38,NA
"634",4220,"Female",2.94,NA,NA
"635",4221,"Female",1.55,NA,NA
"636",4222,"Male",0.88,0.26,NA
"637",4223,"Female",1.35,2.32,NA
"638",4224,"Female",0.61,0.2,0.17
"639",4225,"Male",1,NA,NA
"640",4226,"Female",1.52,2.72,0.52
"641",4234,"Male",1,NA,NA
"642",4235,"Male",1.76,0.41,0.88
"643",4236,"Female",2.52,NA,NA
"644",4237,"Female",2,0.88,1.44
"645",4238,"Female",2.63,NA,NA
"646",4239,"Female",0.73,0.85,NA
"647",4240,"Male",1.58,0.23,1.66
"648",4241,"Female",0.58,NA,NA
"649",4245,"Female",1.67,NA,NA
"650",4247,"Female",1.47,NA,NA
"651",4249,"Female",1.81,NA,NA
"652",4256,"Male",1.91,NA,NA
"653",4257,"Male",1.06,NA,NA
"654",4259,"Male",1.47,1.23,0.94
"655",4262,"Male",2.52,NA,NA
"656",4263,"Female",1.85,0.2,NA
"657",4264,"Male",3.44,NA,NA
"658",4265,"Female",1.55,1.32,1.19
"659",4266,"Female",2.29,2.7,NA
"660",4267,"Female",1.76,NA,NA
"661",4268,"Male",1.9,NA,NA
"662",4269,"Male",2.52,2.55,NA
"663",4271,"Female",2.52,NA,NA
"664",4274,"Female",2.82,0.17,NA
"665",4281,"Female",2.02,NA,NA
"666",4284,"Female",1.29,NA,NA
"667",4285,"Male",1.26,NA,NA
"668",4287,"Female",0.94,NA,NA
"669",4291,"Female",2,1.13,0.53
"670",4292,"Female",0.73,NA,NA
"671",4294,"Male",2.26,0.79,NA
"672",4295,"Female",2.23,NA,NA
"673",4297,"Male",2.35,NA,NA
"674",4298,"Female",0.55,0.38,NA
"675",4301,"Female",1.85,NA,NA
"676",4302,"Male",0.67,NA,NA
"677",4305,"Male",1.85,1,NA
"678",4306,"Male",1.23,0.2,NA
"679",4308,"Female",2.35,NA,NA
"680",4309,"Male",1.35,NA,NA
"681",4310,"Female",1.94,NA,NA
"682",4311,"Male",1.55,NA,NA
"683",4312,"Female",1.29,NA,NA
"684",4313,"Male",2.17,NA,NA
"685",4314,"Female",1.91,NA,NA
